Date,Open,High,Low,Close,Volume,Market Cap
Aug-16-2017,4376.63,4484.7,4243.71,4349.1,2291049129,72153449099
Aug-17-2017,4331.69,4370.13,4015.4,4128.86,2659080208,70206129858
Aug-18-2017,4160.62,4243.26,3970.55,4202.15,3055205366,67500579074
Aug-19-2017,4193.7,4196.29,4069.88,4108.93,2491604549,68107644316
Aug-20-2017,4087.66,4109.14,3988.6,4001.47,2392424790,67025089751
Aug-21-2017,4001.74,4128.76,3674.58,4099.95,3542738785,65051698864
Aug-22-2017,4100.52,4255.78,4078.41,4149.94,2621162674,68521256729
Aug-23-2017,4151.52,4376.39,4130.26,4346.28,2162524808,69253166451
Aug-24-2017,4334.68,4455.7,4307.35,4367.18,1975388889,72174095101
Aug-25-2017,4371.6,4379.28,4269.52,4333.51,1594584896,71507021360
Aug-26-2017,4352.4,4416.59,4317.29,4379.94,1494478105,71990197748
Aug-27-2017,4382.88,4403.93,4224.64,4381.98,1753622902,71467851471
Aug-28-2017,4382.66,4625.68,4352.13,4576.33,2085864444,73944224708
Aug-29-2017,4579.02,4626.52,4471.41,4568.66,2360344931,75310050770
Aug-30-2017,4565.3,4736.05,4549.4,4704.98,1864586486,76665580139
Aug-31-2017,4703.39,4886.73,4678.53,4879.76,2163654132,79020071789
Sep-01-2017,4892.01,4975.04,4469.24,4568.28,2868830490,77373634855
Sep-02-2017,4578.77,4714.08,4417.59,4581.11,2178595382,75805250008
Sep-03-2017,4582.96,4591.63,4108.4,4224.22,2348947438,72284484191
Sep-04-2017,4236.31,4427.84,3998.11,4384.54,3052981469,69928775179
Sep-05-2017,4376.53,4617.25,4376.53,4593.39,2368508611,74829602185
Sep-06-2017,4597.12,4655.04,4491.33,4603.03,1932914424,75581470763
Sep-07-2017,4599.88,4661,4075.18,4224.81,1993160104,73748559954
Sep-08-2017,4228.75,4308.82,4114.11,4232.76,2366424669,69792799202
Sep-09-2017,4226.06,4245.44,3951.04,4122.58,1517856376,68039152047
Sep-10-2017,4122.94,4261.67,4099.4,4163.2,1617781631,68983366189
Sep-11-2017,4161.27,4344.65,4085.22,4141.68,1638364301,70065404526
Sep-12-2017,4130.81,4131.98,3789.92,3880.49,2072152292,65300057280
Sep-13-2017,3882.59,3920.6,3153.86,3153.86,2256522334,59666179067
Sep-14-2017,3154.95,3733.45,2946.62,3638.95,3639263614,55915509214
Sep-15-2017,3637.52,3808.84,3487.79,3620.74,3077740070,60495396813
Sep-16-2017,3625.04,3664.81,3445.64,3583.22,1441625455,58836899904
Sep-17-2017,3582.88,4079.23,3582.88,4056.1,1645700807,64291653754
Sep-18-2017,4065.2,4094.07,3868.87,3928.4,1705764201,65897480660
Sep-19-2017,3924.97,4031.39,3857.73,3917.47,1397132222,65307808707
Sep-20-2017,3905.95,3916.42,3613.63,3631.03,1233677825,63080994340
Sep-21-2017,3631.04,3758.27,3553.53,3635.53,1383438881,60364650542
Sep-22-2017,3630.7,3819.21,3594.58,3796.46,1089044670,61878172888
Sep-23-2017,3792.4,3796.15,3666.9,3689.71,842150277.8,61671526337
Sep-24-2017,3682.84,3950.25,3681.58,3923.13,1050890993,63422971696
Sep-25-2017,3926.07,3969.89,3869.9,3894.73,1228778118,65105337740
Sep-26-2017,3892.35,4210.05,3884.82,4199.28,1274666875,66933799781
Sep-27-2017,4200.67,4279.31,4109.7,4177.53,1848732125,69379222371
Sep-28-2017,4174.73,4192.72,4039.29,4128.299491,1474570558,68398876225
Sep-29-2017,4128.602804,4320.661177,4125.151262,4312.820213,995838914.8,71050825196
Sep-30-2017,4313.69041,4367.362509,4258.475164,4361.139973,1043389066,71812315487
Oct-01-2017,4362.54062,4446.342068,4361.270626,4384.188461,1177332864,73578031457
Oct-02-2017,4378.06235,4466.306182,4237.159335,4311.980091,1146606608,72064864634
Oct-03-2017,4312.216362,4337.574576,4206.295821,4235.080828,974139815.4,70852084570
Oct-04-2017,4237.438692,4348.467992,4157.650335,4311.095697,992029104.1,70637114450
Oct-05-2017,4308.291188,4392.401416,4296.675659,4349.048323,962450001.9,72496726485
Oct-06-2017,4347.018631,4416.203923,4312.669461,4401.216587,781030762.6,72450000113
Oct-07-2017,4399.840562,4605.822535,4391.704577,4594.791466,919376108.3,74813792711
Oct-08-2017,4595.593791,4867.038072,4462.819314,4778.265492,1437590264,77370125493
Oct-09-2017,4778.168364,4919.279359,4577.272431,4770.680471,1844579889,80145431237
Oct-10-2017,4776.845909,4940.049641,4742.077525,4813.907854,1376093089,80021172488
Oct-11-2017,4817.774916,5454.956615,4809.46769,5451.116001,1567842029,85309596707
Oct-12-2017,5474.284931,5827.686133,5443.231414,5648.555273,3153824604,93797226576
Oct-13-2017,5645.575944,5809.264078,5591.199517,5794.824898,1828047911,94351059779
Oct-14-2017,5809.644089,5834.511811,5451.573759,5671.364512,1224709413,94193776390
Oct-15-2017,5682.169341,5749.30472,5570.774781,5715.959489,1868309529,94126663669
Oct-16-2017,5724.276541,5731.292043,5447.921209,5608.720413,1674450923,93184090990
Oct-17-2017,5611.877991,5611.877991,5157.866481,5586.3224,1765142429,89892381122
Oct-18-2017,5579.595965,5720.290661,5520.490617,5666.941921,2003847685,93912007254
Oct-19-2017,5668.162862,6039.676943,5613.489699,6000.942902,1661760080,96682383088
Oct-20-2017,5990.353327,6188.33497,5960.347933,6035.445673,2357226249,101572370054
Oct-21-2017,6035.406725,6083.978976,5763.931732,6018.877567,2075433694,98790684852
Oct-22-2017,6012.75688,6071.358448,5694.409327,5946.926592,1919863138,98037154916
Oct-23-2017,5929.837027,5929.837027,5505.114632,5526.928736,2982315190,94106793156
Oct-24-2017,5527.28221,5727.942644,5394.936588,5725.302354,2133954217,92262494595
Oct-25-2017,5720.446475,5955.709383,5684.729787,5897.441434,1826168892,97288968624
Oct-26-2017,5899.190788,5981.333651,5722.633627,5752.448565,1816195877,97141755423
Oct-27-2017,5757.659835,5854.622466,5664.157128,5739.102225,1469730115,96288173425
Oct-28-2017,5749.563999,6216.524433,5728.87027,6146.589798,1602732525,97802078340
Oct-29-2017,6124.058616,6168.496593,5996.44095,6086.122429,2191261218,101153498649
Oct-30-2017,6079.307558,6443.118174,6038.268904,6443.118174,1610869661,104013174138
Oct-31-2017,6433.497858,6751.16985,5828.476859,6751.16985,2422158633,108548952808
Nov-01-2017,6755.903777,7461.50855,6755.903777,7083.602366,3650530787,117105844480
Nov-02-2017,7085.737224,7435.765575,6994.68356,7207.199066,3709943046,120854975385
Nov-03-2017,7210.187115,7474.331784,7086.19873,7391.414501,2663039124,120410490999
Nov-04-2017,7394.381478,7618.518167,7325.719049,7392.794234,1991166333,124796270051
Nov-05-2017,7402.650704,7461.217989,7046.3128,7046.3128,2520722368,121854715779
Nov-06-2017,7048.212497,7278.111006,7048.212497,7168.998589,2605319541,118894803412
Nov-07-2017,7161.255831,7732.574136,7136.077819,7486.648797,2603250961,122749670297
Nov-08-2017,7470.069124,7470.069124,7109.098796,7149.000472,4128846790,120949042063
Nov-09-2017,7179.911941,7379.149902,6447.167476,6613.680938,3677208838,116088127631
Nov-10-2017,6598.365158,6862.041485,6279.384685,6356.625594,5021218783,109914851263
Nov-11-2017,6355.853306,6480.458935,5614.214078,5991.383039,3190841732,101632307451
Nov-12-2017,5989.778473,6850.464044,5948.677376,6577.853347,4220355222,106133349903
Nov-13-2017,6581.989103,6780.150296,6476.239238,6647.34608,4029832336,109844115216
Nov-14-2017,6647.50772,7362.400701,6647.50772,7322.818343,3292612976,117616882446
Nov-15-2017,7336.675526,7950.359953,7199.878647,7849.171538,3838014141,124808733487
Nov-16-2017,7858.644664,8010.473776,7562.145737,7738.847174,4169241054,130829538826
Nov-17-2017,7705.225707,7844.769045,7471.53643,7786.062738,4020111615,128436103256
Nov-18-2017,7775.150351,8043.240302,7654.556187,8023.985993,2603344061,130323209914
Nov-19-2017,8014.615646,8260.812429,7925.767371,8216.796397,2889658371,135335157186
